Student name,Grade level,Advisor,Email
"Hollis, Dallas",11,Gorski,student0162@example.edu
"Grimshaw, Val",9,Fitzhenry,student0252@example.edu
"Emerling, Rowan",10,Gagnon,student0072@example.edu
"Marchetti, Shiloh",9,Espinoza,student0134@example.edu
"Winslow, Corin",9,Ishida,student0073@example.edu
"Jarvis, Noel",11,Hendrickx,student0336@example.edu
"Castillo, Remy",9,Fitzhenry,student0074@example.edu
"Thackeray, Quinn",9,Ishida,student0536@example.edu
"Iversen, Jordan",10,Hendrickx,student0499@example.edu
"Mendel, Ashby",12,Kalman,student0404@example.edu
"Lindqvist, Kai",10,Ishida,student0405@example.edu
"Ashford, Jael",9,Hendrickx,student0406@example.edu
"Alden, Ashby",9,Ishida,student0075@example.edu
"Lindqvist, Val",9,Langford,student0235@example.edu
"Ingram, Marlowe",10,Voss,student0303@example.edu
"Mendel, Eden",11,Hendrickx,student0500@example.edu
"Ingram, Sage",11,Hendrickx,student0410@example.edu
"Hollis, Lior",11,Esparza,student0284@example.edu
"Yalow, Noel",10,Novak,student0374@example.edu
"Kirkland, Quincy",9,Langford,student0276@example.edu
"Abernathy, Remy",9,Langford,student0217@example.edu
"Quill, Ashby",11,Fitzhenry,student0557@example.edu
"Osei, Micah",9,Langford,student0503@example.edu
"Holloway, Ashby",12,Langford,student0504@example.edu
"Farraday, Val",11,Hendrickx,student0236@example.edu
"Alden, Quinn",10,Ishida,student0103@example.edu
"Nakamura, Ashby",10,Fournier,student0304@example.edu
"Delgado, Eden",11,Ishida,student0375@example.edu
"Iversen, Jules",12,Novak,student0135@example.edu
"Quintero, Indie",10,Novak,student0104@example.edu
"Jacoby, Fallon",10,Gagnon,student0263@example.edu
"Thackeray, Kip",10,Yost,student0521@example.edu
"Everhart, Casey",12,Kalman,student0136@example.edu
"Dashwood, Greer",11,Hendrickx,student0105@example.edu
"Xander, Kendall",9,Langford,student0077@example.edu
"Pemberton, Presley",11,Ishida,student0088@example.edu
"Ingram, Greer",10,Lindgren,student0522@example.edu
"Ulloa, Jamie",11,Jelinek,student0270@example.edu
"Fenwick, Kip",10,Rundgren,student0480@example.edu
"Yates, Skyler",10,Beaulieu,student0376@example.edu
"Holloway, Skyler",12,Langford,student0537@example.edu
"Zamora, Eden",9,Kalman,student0078@example.edu
"Abernathy, Bellamy",10,Ziegler,student0523@example.edu
"Norwood, Jules",12,Esparza,student0081@example.edu
"Norwood, Rowan",10,Gagnon,student0137@example.edu
"Ashford, Kip",11,Langford,student0138@example.edu
"Grover, Val",12,Langford,student0079@example.edu
"Renwick, Adrian",9,Kalman,student0505@example.edu
"Tremaine, Toby",11,Langford,student0411@example.edu
"Falkner, Remy",9,Dumont,student0453@example.edu
"Hutton, Ellis",9,Kalman,student0080@example.edu
"Ingram, Eden",12,Langford,student0082@example.edu
"Quill, Lior",10,Ziegler,student0338@example.edu
"Croft, Reese",10,Jelinek,student0506@example.edu
"Jacoby, Bellamy",9,Nazario,student0277@example.edu
"Sterling, Frankie",11,Hendrickx,student0305@example.edu
